HOR	0	1
ABEF	8.064	5.241	3.613	7.867	8.309
ABEFGH	33421.774	36183.147	42277.316	73080.751	39632.220
ABEFGhCDEFGH	3.358	3.101	4.027	3.606	5.972
ABEFkH	8.585	1.300	6.376	8.494	0.281
ABEyCDEFGH	4.433	4.348	5.097	7.075	2.879
ABEyCDEyEyEFGH	5.456	0.541	3.856	8.424	0.000
ABEyEFGH	24.696	15.057	2.366	1.991	1.136
ABEyEz	0.253	5.584	3.624	4.268	7.518
ABEz	476.701	551.512	645.215	554.340	453.457
ADEFGH	128.858	32.578	0.785	1.680	2.090
ADEFGO	0.0	0.0	5.460	0.028	0.0
AFGH	5.413	20.211	16.638	21.114	23.364
AFGO	0.0	0.009	6.072	0.261	0.000
AH	11.674	1.548	0.921	0.885	0.172
AfGH	11.103	15.209	16.468	18.235	24.611
AyEFGH	1.624	61.571	83.508	118.962	147.367
AyEz	25.837	4.451	11.118	14.423	0.653
HOR	0	1	2	3	4	5
AB	8.674	1.117	1.298	0.859	1.013	3.614
ABCBEyCDEFGH	1.005	0.007	1.427	0.441	4.537	0.780
ABCDEF	1.160	0.699	2.188	2.409	0.990	1.245
ABCDEFGH	637.853	311.571	589.688	366.644	736.915	282.490
ABCDEFGO	3.259	3.575	4.31	2.431	25.272	1021.457
ABCDEFGOGH	0.122	0.016	0.082	0.040	0.676	8.296
ABCDEFWO	0.003	0.0	0.010	0.0	0.065	4.838
ABCDEFkH	18.835	8.137	42.217	24.628	27.343	9.249
ABCDEfGO	1.800	1.694	0.621	0.824	2.518	29.949
ABCDEyCDEFGH	3.779	1.588	7.220	3.974	9.577	1.894
ABCDEyCDEyEFGH	3.253	0.020	13.064	5.823	8.745	1.958
ABCDEyEFGH	35.171	7.444	109.342	56.651	73.933	20.402
ABCDEyEFkH	3.520	0.197	10.127	5.929	4.364	1.717
ABCFGH	1.280	0.079	6.399	2.448	1.477	0.811
ABCH	1.657	0.836	0.822	0.697	4.416	0.723
ABCyEDEFGH	0.031	0.0	5.616	0.586	0.020	0.472
ABCyEFGH	2.588	0.011	23.861	5.635	4.511	2.579
ABCyEyEFGH	2.102	0.0	14.666	7.896	1.392	1.559
ABEF	8.066	2.441	5.210	1.955	3.233	2.076
ABEFGH	1022.948	972.058	635.114	663.906	889.049	382.580
ABEFGhCDEFGH	1.257	5.314	0.795	2.499	2.068	1.156
ABEFkH	2.240	0.692	4.462	2.323	7.414	1.362
ABEyCDEFGH	7.322	6.310	2.733	4.075	8.541	2.689
ABEyCDEyEyEFGH	1.667	0.0	1.233	0.220	6.005	0.692
ABEyEFGH	4.069	0.473	7.663	5.022	2.686	1.465
ABEyEz	5.570	1.372	0.630	1.01	1.503	1.421
ABEz	117.389	119.549	114.609	105.995	134.010	52.691
ADEFGH	5.216	2.431	11.907	6.024	1.647	1.289
ADEFGO	0.0	0.0	0.0	0.0	0.035	2.691
AFGH	17.546	12.514	3.809	7.740	8.571	4.773
AFGO	0.003	0.001	0.0	0.012	0.107	5.288
AH	1.265	0.174	5.454	1.176	1.367	0.714
AfGH	7.067	18.108	1.860	9.066	7.478	5.182
AyEFGH	24.767	9.378	1.973	4.677	5.874	6.364
AyEz	3.650	0.261	11.063	4.660	7.954	2.127
HOR	0	1	2	3	4	5
AB	9.580	3.023	0.819	0.998	1.276	5.113
ABCBEyCDEFGH	2.277	0.003	4.066	0.288	6.258	4.205
ABCDEF	0.577	3.994	2.707	11.795	0.829	3.858
ABCDEFGH	66360.685	4182.495	38821.699	8179.339	89197.758	40930.538
ABCDEFGO	1.815	1.658	75.164	1.609	12972.273	148295.861
ABCDEFGOGH	0.041	0.018	0.017	0.014	1.642	11.359
ABCDEFWO	0.000	0.0	0.002	0.0	0.136	4.944
ABCDEFkH	68.934	3.953	74.337	50.380	71.447	78.536
ABCDEfGO	0.638	0.574	0.731	0.489	8.973	121.891
ABCDEyCDEFGH	9.281	0.446	6.190	3.515	18.229	6.251
ABCDEyCDEyEFGH	9.251	0.013	43.172	8.200	22.545	12.444
